text,label
Superb performance! Maza hi aa gaya yarr.,positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya. worst!",negative
"Simple baat hai, samajh jao toh acha hai. hmm",neutral
Gazab chiz hai! Ekdum paisa vasool bhai. superb!,positive
"Bohot hi kharab quality hai, disappointed completely. 👎",negative
"Normal chal raha hai sab kuch, bas chal raha hai. hmm",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 wow!",positive
Dimag kharab ho gaya inka customer care se baat karke. 😡,negative
Kuch samajh nahi aa raha kya karun. hmm,neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! superb!",positive
"Bohot hi kharab quality hai, disappointed completely. mood off",negative
"Bas chal hi raha hai kaam, normal sa. hmm",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍,positive
"Bohot hi kharab quality hai, disappointed completely. mood off",negative
"Thik thak hai, na bohot acha na bohot bura. ok",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai!",positive
"Faltu app hai, baar baar crash ho raha hai. 👎 mood off",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. hmm,neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 wow!",positive
"Mood kharab kar diya poora, itna ghatiya experience. 👎",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. thik h,neutral
Superb performance! Maza hi aa gaya yarr. 😂,positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 😡",negative
"Thik thak hai, na bohot acha na bohot bura. ok",neutral
"Anand aa gaya bhai, fully satisfied with the service.",positive
"Bohot hi kharab quality hai, disappointed completely. 😡",negative
"Ha thik hai, jaisa chal raha hai chalne do. thik h",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 superb!",positive
"Bilkul bakwas service, delay hi delay hota hai hamesha. 👎",negative
"Bas chal hi raha hai kaam, normal sa. thik h",neutral
"Maza aa gaya! Best experience ever, highly recommended. wow!",positive
"Faltu app hai, baar baar crash ho raha hai. 👎 mood off",negative
"Simple baat hai, samajh jao toh acha hai. thik h",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 🔥",positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 👎",negative
"Normal day tha, kuch khaas nahi hua. ok",neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 🔥,positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮",negative
Kuch samajh nahi aa raha kya karun. hmm,neutral
"Anand aa gaya bhai, fully satisfied with the service. wow!",positive
"Mood kharab kar diya poora, itna ghatiya experience. 👎",negative
"Ha thik hai, jaisa chal raha hai chalne do. ok",neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌,positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya. worst!",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. thik h,neutral
Gazab chiz hai! Ekdum paisa vasool bhai. 🔥,positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 mood off",negative
"Simple baat hai, samajh jao toh acha hai. ok",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! superb!",positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡",negative
"Normal chal raha hai sab kuch, bas chal raha hai.",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! 🔥",positive
Dimag kharab ho gaya inka customer care se baat karke. 😡,negative
Kuch samajh nahi aa raha kya karun. thik h,neutral
"Anand aa gaya bhai, fully satisfied with the service. wow!",positive
"Faltu app hai, baar baar crash ho raha hai. 👎 😡",negative
"Normal day tha, kuch khaas nahi hua. ok",neutral
"Anand aa gaya bhai, fully satisfied with the service. wow!",positive
"Bohot hi kharab quality hai, disappointed completely. 😡",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. thik h,neutral
"Maza aa gaya! Best experience ever, highly recommended. 🔥",positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya.",negative
Ok main check karke batata hu thodi der me.,neutral
Gazab chiz hai! Ekdum paisa vasool bhai.,positive
"Faltu app hai, baar baar crash ho raha hai. 👎 👎",negative
"Thik thak hai, na bohot acha na bohot bura. thik h",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 🔥",positive
"Mood kharab kar diya poora, itna ghatiya experience.",negative
Kuch samajh nahi aa raha kya karun. thik h,neutral
Superb performance! Maza hi aa gaya yarr.,positive
"Bilkul bakwas service, delay hi delay hota hai hamesha.",negative
"Thik thak hai, na bohot acha na bohot bura. ok",neutral
"Maza aa gaya! Best experience ever, highly recommended. 😂",positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 👎",negative
Main kal subah unse baat karunga is baare mein. thik h,neutral
"Anand aa gaya bhai, fully satisfied with the service.",positive
"Mood kharab kar diya poora, itna ghatiya experience. worst!",negative
"Simple baat hai, samajh jao toh acha hai. hmm",neutral
Bhai aaj ka din bohot badhiya tha! Maje aa gaye. 😂 😂,positive
"Faltu app hai, baar baar crash ho raha hai. 👎 mood off",negative
Main kal subah unse baat karunga is baare mein. hmm,neutral
Bhai aaj ka din bohot badhiya tha! Maje aa gaye. 😂 superb!,positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 worst!",negative
"Ha thik hai, jaisa chal raha hai chalne do. thik h",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 wow!",positive
"Bilkul bakwas service, delay hi delay hota hai hamesha. worst!",negative
Kuch samajh nahi aa raha kya karun. hmm,neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 🔥",positive
"Mood kharab kar diya poora, itna ghatiya experience. mood off",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. hmm,neutral
Wah! Kya mast performance thi maza hi aa gaya. 🎉,positive
Dimag kharab ho gaya inka customer care se baat karke. 😡,negative
Kya yeh sahi tarika hai? Mujhe nahi pata. ok,neutral
Gazab chiz hai! Ekdum paisa vasool bhai. superb!,positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya. mood off",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. ok,neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌,positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 mood off",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. thik h,neutral
"Anand aa gaya bhai, fully satisfied with the service.",positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 😡",negative
Kuch samajh nahi aa raha kya karun. hmm,neutral
"Anand aa gaya bhai, fully satisfied with the service. 🔥",positive
Dimag kharab ho gaya inka customer care se baat karke. mood off,negative
Kya yeh sahi tarika hai? Mujhe nahi pata. hmm,neutral
Gazab chiz hai! Ekdum paisa vasool bhai. wow!,positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 👎",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. ok,neutral
"Maza aa gaya! Best experience ever, highly recommended. 😂",positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 😡",negative
"Bas chal hi raha hai kaam, normal sa. ok",neutral
Bhai aaj ka din bohot badhiya tha! Maje aa gaye. 😂 🔥,positive
Worst service ever! Dubara kabhi nahi order karunga. 😡,negative
"Normal chal raha hai sab kuch, bas chal raha hai.",neutral
Superb performance! Maza hi aa gaya yarr. wow!,positive
"Bohot hi kharab quality hai, disappointed completely.",negative
"Simple baat hai, samajh jao toh acha hai. hmm",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! superb!",positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 worst!",negative
Ok main check karke batata hu thodi der me. ok,neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥",positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 😡",negative
Kuch samajh nahi aa raha kya karun. thik h,neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 🔥,positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮",negative
"Bas chal hi raha hai kaam, normal sa.",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍 🔥,positive
Dimag kharab ho gaya inka customer care se baat karke.,negative
"Bas chal hi raha hai kaam, normal sa.",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍,positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡 👎",negative
Main kal subah unse baat karunga is baare mein. hmm,neutral
Wah! Kya mast performance thi maza hi aa gaya. 🎉 superb!,positive
"Mood kharab kar diya poora, itna ghatiya experience. 😡",negative
Kuch samajh nahi aa raha kya karun. thik h,neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 🔥,positive
"Bohot hi kharab quality hai, disappointed completely.",negative
"Ha thik hai, jaisa chal raha hai chalne do.",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍 wow!,positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 mood off",negative
"Ha thik hai, jaisa chal raha hai chalne do.",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍,positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 👎",negative
"Bas chal hi raha hai kaam, normal sa. ok",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥",positive
"Mood kharab kar diya poora, itna ghatiya experience. mood off",negative
"Simple baat hai, samajh jao toh acha hai. ok",neutral
Wah! Kya mast performance thi maza hi aa gaya. 🎉 😂,positive
Worst service ever! Dubara kabhi nahi order karunga. 👎,negative
Kuch samajh nahi aa raha kya karun.,neutral
"Anand aa gaya bhai, fully satisfied with the service.",positive
Worst service ever! Dubara kabhi nahi order karunga.,negative
"Normal day tha, kuch khaas nahi hua. hmm",neutral
"Anand aa gaya bhai, fully satisfied with the service. wow!",positive
"Bohot hi kharab quality hai, disappointed completely. 👎",negative
Ok main check karke batata hu thodi der me.,neutral
Gazab chiz hai! Ekdum paisa vasool bhai. 🔥,positive
"Faltu app hai, baar baar crash ho raha hai. 👎 😡",negative
"Bas chal hi raha hai kaam, normal sa.",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍 superb!,positive
Worst service ever! Dubara kabhi nahi order karunga. mood off,negative
"Thik thak hai, na bohot acha na bohot bura.",neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 🔥,positive
"Faltu app hai, baar baar crash ho raha hai. 👎 worst!",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. ok,neutral
Gazab chiz hai! Ekdum paisa vasool bhai. superb!,positive
"Bohot hi kharab quality hai, disappointed completely. worst!",negative
Kuch samajh nahi aa raha kya karun. hmm,neutral
Wah! Kya mast performance thi maza hi aa gaya. 🎉 😂,positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya.",negative
"Ha thik hai, jaisa chal raha hai chalne do. hmm",neutral
Superb performance! Maza hi aa gaya yarr.,positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya.",negative
"Simple baat hai, samajh jao toh acha hai.",neutral
Wah! Kya mast performance thi maza hi aa gaya. 🎉 wow!,positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮",negative
"Ha thik hai, jaisa chal raha hai chalne do. hmm",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍 😂,positive
"Bilkul bakwas service, delay hi delay hota hai hamesha. 👎",negative
"Normal chal raha hai sab kuch, bas chal raha hai. ok",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍 😂,positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 mood off",negative
"Normal day tha, kuch khaas nahi hua. hmm",neutral
"Maza aa gaya! Best experience ever, highly recommended. 🔥",positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya. mood off",negative
"Thik thak hai, na bohot acha na bohot bura. thik h",neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 🔥,positive
"Faltu app hai, baar baar crash ho raha hai. 👎 mood off",negative
"Normal chal raha hai sab kuch, bas chal raha hai. ok",neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍 superb!,positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 👎",negative
"Simple baat hai, samajh jao toh acha hai.",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! superb!",positive
"Faltu app hai, baar baar crash ho raha hai. 👎 mood off",negative
"Ha thik hai, jaisa chal raha hai chalne do. hmm",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 wow!",positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮",negative
"Ha thik hai, jaisa chal raha hai chalne do. hmm",neutral
Wah! Kya mast performance thi maza hi aa gaya. 🎉 superb!,positive
"Bilkul bakwas service, delay hi delay hota hai hamesha.",negative
Ok main check karke batata hu thodi der me.,neutral
Superb performance! Maza hi aa gaya yarr. 😂,positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 👎",negative
Kya yeh sahi tarika hai? Mujhe nahi pata. thik h,neutral
Acha laga dekh kar ki koi itna hardwork kar raha hai. 👍,positive
Dimag kharab ho gaya inka customer care se baat karke. mood off,negative
Kya yeh sahi tarika hai? Mujhe nahi pata. thik h,neutral
"Maza aa gaya! Best experience ever, highly recommended. 😂",positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 👎",negative
Ok main check karke batata hu thodi der me. ok,neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! 🔥",positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 👎",negative
Main kal subah unse baat karunga is baare mein. thik h,neutral
Gazab chiz hai! Ekdum paisa vasool bhai. wow!,positive
Dimag kharab ho gaya inka customer care se baat karke. worst!,negative
Kya yeh sahi tarika hai? Mujhe nahi pata. ok,neutral
"Anand aa gaya bhai, fully satisfied with the service. superb!",positive
"Bilkul bakwas service, delay hi delay hota hai hamesha. mood off",negative
Main kal subah unse baat karunga is baare mein. ok,neutral
"Maza aa gaya! Best experience ever, highly recommended. 🔥",positive
Worst service ever! Dubara kabhi nahi order karunga. worst!,negative
"Normal chal raha hai sab kuch, bas chal raha hai.",neutral
"Boht sahi kaam kiya hai tune, proud of you brother! 🔥 😂",positive
"Faltu app hai, baar baar crash ho raha hai. 👎 😡",negative
"Thik thak hai, na bohot acha na bohot bura. ok",neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! 😂",positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya. mood off",negative
"Ha thik hai, jaisa chal raha hai chalne do. thik h",neutral
"Anand aa gaya bhai, fully satisfied with the service. superb!",positive
"Bakwas chal raha hai sab kuch, bilkul pasand nahi aaya. worst!",negative
Kuch samajh nahi aa raha kya karun.,neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! wow!",positive
"Paise barbad ho gaye mere, koi mat lena ise. 😡 😡",negative
Main kal subah unse baat karunga is baare mein.,neutral
Bhai aaj ka din bohot badhiya tha! Maje aa gaye. 😂,positive
"Bohot hi bekar aur ghatiya product hai, paise waste. 🤮 worst!",negative
Main kal subah unse baat karunga is baare mein. thik h,neutral
"Dil khush ho gaya yaar ye dekh kar, kya baat hai! 🔥",positive
"Yrr train cancel ho gayi, ab kaise jaunga ghar? 😡",negative
Main kal subah unse baat karunga is baare mein. thik h,neutral
Kya bawal chiz banayi hai tumne yaar! Superb. 👌 superb!,positive
"Mood kharab kar diya poora, itna ghatiya experience. worst!",negative
"Ha thik hai, jaisa chal raha hai chalne do. thik h",neutral
